ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              087                     110                     111        
Frame 0214    0000 000000005ffde77e  01101 0000000000000000  01101 0000000000000000
Frame 0215    0101 0000000006317c00  00001 0000000000000000  00001 0000000000000000
Frame 0216    0001 000000000771c400  00001 0000000000000000  00001 0000000000000000
Frame 0217    0001 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0218    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0219    0001 000000000100041c  00001 0000000000000000  00001 0000000000000000
Frame 0220    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0221    0001 000000000fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0222    0000 000000000fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0223    0101 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0224    0001 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0225    0001 000000000651a400  00001 0000000000000000  00001 0000000000000000
Frame 0226    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0227    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0228    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0229    0001 000000007ffee7fe  00000 0000000000000000  00000 0000000000000000
Frame 0230    0000 000000007ffee7fe  01101 0000000000000000  01101 0000000000000000
Frame 0231    0101 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0232    0001 0000000007f1f400  00001 0000000000000000  00001 0000000000000000
Frame 0233    0001 0000000033dcc400  00001 0000000000000000  00001 0000000000000000
Frame 0234    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0235    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0236    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0237    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0238    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0239    0101 0000000006d1a400  00001 0000000000000000  00001 0000000000000000
Frame 0240    0001 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0241    0001 0000000004e14c00  00001 0000000000000000  00001 0000000000000000
Frame 0242    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0243    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0244    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0245    0001 000000000fff67fe  00000 0000000000000000  00000 0000000000000000
Frame 0246    0000 000000000fff67fe  01101 0000000000000000  01101 0000000000000000
Frame 0247    0101 0000000006518c00  00001 0000000000000000  00001 0000000000000000
Frame 0248    0001 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0249    0001 000000002bfb1800  00001 0000000000000000  00001 0000000000000000
Frame 0250    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0251    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0252    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0253    0001 000000003fffe1fe  00000 0000000000000000  00000 0000000000000000
Frame 0254    0000 000000003fffe1fe  01101 0000000000000000  01101 0000000000000000
Frame 0255    0101 0000000001a03c00  00001 0000000000000000  00001 0000000000000000
Frame 0256    0001 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0257    0001 00000000a22304f0  00001 0000000000000000  00001 0000000000000000
Frame 0258    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0259    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0260    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0261    0001 000000005fffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0262    0000 000000005fffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0263    0101 000000000621a000  00001 0000000000000000  00001 0000000000000000
Frame 0264    0001 00000000a22387b0  00001 0000000000000000  00001 0000000000000000
Frame 0265    0001 00000000a2388a50  00001 0000000000000000  00001 0000000000000000
Frame 0266    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0267    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0268    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0269    0001 000000003fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0270    0000 000000003fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0271    0101 0000000000402400  00001 0000000000000000  00001 0000000000000000
Frame 0272    0001 00000000a21f8510  00001 0000000000000000  00001 0000000000000000
Frame 0273    0001 00000000a20007b0  00001 0000000000000000  00001 0000000000000000
Frame 0274    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0275    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0276    0001 0000000001c0001c  00001 0000000000000000  00001 0000000000000000
Frame 0277    0001 000000000fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0278    0000 000000000fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0279    0101 0000000006f1b400  00001 0000000000000000  00001 0000000000000000
Frame 0280    0001 00000000a21d09f0  00001 0000000000000000  00001 0000000000000000
Frame 0281    0001 00000000a2208d90  00001 0000000000000000  00001 0000000000000000
Frame 0282    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0283    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0284    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0285    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0286    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0287    0101 0000000000a01800  00001 0000000000000000  00001 0000000000000000
Frame 0288    0001 000000009de45913  00001 0000000000000000  00001 0000000000000000
Frame 0289    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0290    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0291    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0292    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0293    0001 000000003fffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0294    0000 000000003fffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0295    0101 0000000005c19000  00001 0000000000000000  00001 0000000000000000
Frame 0296    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0297    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0298    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0299    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0300    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0301    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0302    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0303    0101 0000000003a0d000  00001 0000000000000000  00001 0000000000000000
Frame 0304    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0305    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0306    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0307    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0308    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0309    0001 00000000ffffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0310    0000 00000000ffffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0311    0101 000000000721e400  00001 0000000000000000  00001 0000000000000000
Frame 0312    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0313    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
